,text,is_fact,score
57,"anthropologists were circling the globe, buying bones from dealers, and digging up graves in the name of science.",0,FALSE
87,History proved that it was anything but. ,0,FALSE
70,"Because washers and dryers are typically sold as a pair, prices for both appliances could go up.",0.058823529,FALSE
18,"The certainty of his sentencing for that charge, which was already likely to insure his lifetime imprisonment, allowed media attention to focus on the brave and devastating accounts of his survivors.",0.064516129,FALSE
79,He appears to be in his twenties and is wearing a pale shirt and sweatpants.,0.066666667,TRUE
24,"Along the way, she has offered invaluable mentorship to younger athletes, who have delivered her handwritten notes of adoration and praised her positivity in the press.",0.115384615,FALSE
75,My solace comes from understanding the good and the bad about the things I like.,0.133333333,FALSE
37,"We created our sedentary lifestyles with technology: cars, robots, computers, and appliances all made our lives easier, and TV meant our leisure hours were often spent sitting down",0.142857143,FALSE
39,"They had come to view relics of a tragic episode in their nation’s history, and to ask the museum, after almost a century, to give them back.",0.142857143,FALSE
86,"This is going to be a deeply unpleasant experience, and I feel their pain.",0.142857143,FALSE
84,Many citizens appear confused and worried. ,0.166666667,FALSE
89,A major shift in political and cultural life in our country means it is a good time for people to improve their own reading and learning habits.,0.185185185,FALSE
90,"In the post-post truth age (that is, an age where one has to work hard to be media literate and find the truthful sources of information), citizens should support local and regional publications that hew to ethical journalism standards and cover local government entities.",0.186046512,FALSE
5,"The sales promise a quick injection of cash for ailing state, federal, or municipal budgets",0.2,FALSE
55,Now he wonders whether his own ancestors are in a cardboard box somewhere. ,0.230769231,FALSE
94,"There is much that needs to be investigated, not only when it comes to the potential health effects but also around what actually goes into tires.",0.230769231,FALSE
92,It’s about time. ,0.25,FALSE
48,Not much was known about the suspected gunman and authorities have not identified him or provided a possible motive,0.263157895,FALSE
31,"Generally, if you are overweight, your doctor will suggest you exercise more and eat less.",0.266666667,FALSE
71,I have a secret: I support franchises I probably shouldn’t.,0.272727273,FALSE
78,Experts were skeptical.,0.333333333,FALSE
28,"But much of Washington policymaking originates with such activity among wonks: the network of nonprofits, think tanks, and advocacy groups that help the political parties generate ideas, set priorities, and gain expertise.",0.34375,TRUE
19,"If Washington can be thought of as a factory, opinions like these are the raw materials that get turned into laws, regulations, and public policy.",0.4,FALSE
43,"In what has been called the first genocide of the twentieth century, colonists pushed Herero into the desert and forced others into concentration camps.",0.416666667,TRUE
10,European leaders have made clear they believe Iran is abiding by limits on its nuclear program set out in the deal.,0.523809524,TRUE
93,"Along with countless others, I watched on television as Otto raised a prayer to the courtroom ceiling",0.529411765,FALSE
65,The boys were born via a surrogate in 2016,0.555555556,TRUE
23,"Beyond all of its scientific and commercial benefits, the ISS has been a cornerstone of international cooperation.",0.647058824,FALSE
40,"Franklin kept track of when he screwed up, which was a mistake.",0.666666667,FALSE
9,They highlight the perilous reality facing people with temporary protected status from countries Trump called “shitholes.”,0.6875,FALSE
83,"As the route through north Africa becomes increasingly fraught, many migrants have relinquished their dreams of ever reaching European shores.",0.7,FALSE
73,"As a pop culture critic who emphasizes the importance of proper representation and diversity, I’m expected to like everything that’s diverse and hate everything that isn’t. ",0.724137931,FALSE
54,"Nonetheless, the A.M.N.H. has gradually come to acknowledge the troubling origins of many remains in its possession.",0.75,FALSE
25,"In total, he pulled in over $400,000. Since then, the value of bitcoin has soared: the price of the cryptocurrency rose as high as $17,000 earlier this month, only to drop under $10,000 in recent weeks",0.757575758,TRUE
30,"Here’s the overview: as of the most recent report in 2014, 70 percent of American adults aged 20 and over are either overweight or obese.",0.807692308,TRUE
22,"To fans of gymnastics, it is no surprise that Raisman, who was twice voted the captain of her country’s Olympic team, has emerged as the spearhead of this communal movement,",0.838709677,FALSE
4,"Almost 17 years later, the region is more violent and unstable than ever,",0.846153846,TRUE
41,"Overall, the rate of marijuana use among black Americans is not that different from the rate among whites. But an internal analysis of Oakland data found striking disparities in the policing of people in possession of marijuana between 1995 and 2015 ? even after the state voted to make it the lowest enforcement priority in 2004.",0.854545455,TRUE
47,"In California, like virtually everywhere in the U.S., the war on drugs has resulted in wildly disproportionate policing and criminal penalties for people of color.",0.875,TRUE
49,The purchase doubled the museum’s physical anthropology holdings and helped establish the A.M.N.H. as a leader in the field.,0.894736842,FALSE
67,"In other words, there was no crisis for DACA recipients.",0.9,FALSE
